Tue Feb 15 23:23:25 2011: { 'APP_VERSION' => 'CMSSW_3_11_0_ONLINE', 'APP_NAME' => 'CMSSW', 'Tier0Inject' => '1', 'HLTKEY' => '/cdaq/special/HLT_Basic/HLT_Basic_v2/V2', 'NEVENTS' => '155', 'RUNNUMBER' => '157957', 'CHECKSUM' => '4b542a33', 'T0FirstKnownTime' => '0', 'PFN' => '/castor/cern.ch/cms/store/t0streamer/Data/Calibration/000/157/957/Data.00157957.0278.Calibration.storageManager.07.0000.dat', 'STREAM' => 'Calibration', 'LUMISECTION' => '278', 'START_TIME' => '0', 'TYPE' => 'streamer', 'FILESIZE' => '13946994', 'STOP_TIME' => '0', 'LFN' => '/store/t0streamer/Data/Calibration/000/157/957/Data.00157957.0278.Calibration.storageManager.07.0000.dat' }
Tue Feb 15 23:23:25 2011: { 'APP_VERSION' => 'CMSSW_3_11_0_ONLINE', 'APP_NAME' => 'CMSSW', 'Tier0Inject' => '1', 'HLTKEY' => '/cdaq/special/HLT_Basic/HLT_Basic_v2/V2', 'NEVENTS' => '231', 'RUNNUMBER' => '157957', 'CHECKSUM' => 'e5c0693b', 'T0FirstKnownTime' => '0', 'PFN' => '/castor/cern.ch/cms/store/t0streamer/Data/Express/000/157/957/Data.00157957.0278.Express.storageManager.07.0000.dat', 'STREAM' => 'Express', 'LUMISECTION' => '278', 'START_TIME' => '0', 'TYPE' => 'streamer', 'FILESIZE' => '22357197', 'STOP_TIME' => '0', 'LFN' => '/store/t0streamer/Data/Express/000/157/957/Data.00157957.0278.Express.storageManager.07.0000.dat' }
Tue Feb 15 23:23:25 2011: { 'APP_VERSION' => 'CMSSW_3_11_0_ONLINE', 'APP_NAME' => 'CMSSW', 'Tier0Inject' => '1', 'HLTKEY' => '/cdaq/special/HLT_Basic/HLT_Basic_v2/V2', 'NEVENTS' => '231', 'RUNNUMBER' => '157957', 'CHECKSUM' => '964eb16d', 'T0FirstKnownTime' => '0', 'PFN' => '/castor/cern.ch/cms/store/t0streamer/Data/HLTMON/000/157/957/Data.00157957.0278.HLTMON.storageManager.07.0000.dat', 'STREAM' => 'HLTMON', 'LUMISECTION' => '278', 'START_TIME' => '0', 'TYPE' => 'streamer', 'FILESIZE' => '23141140', 'STOP_TIME' => '0', 'LFN' => '/store/t0streamer/Data/HLTMON/000/157/957/Data.00157957.0278.HLTMON.storageManager.07.0000.dat' }
Tue Feb 15 23:23:25 2011: { 'APP_VERSION' => 'CMSSW_3_11_0_ONLINE', 'APP_NAME' => 'CMSSW', 'Tier0Inject' => '1', 'HLTKEY' => '/cdaq/special/HLT_Basic/HLT_Basic_v2/V2', 'NEVENTS' => '1251', 'RUNNUMBER' => '157957', 'CHECKSUM' => '27016508', 'T0FirstKnownTime' => '0', 'PFN' => '/castor/cern.ch/cms/store/t0streamer/Data/NanoDST/000/157/957/Data.00157957.0278.NanoDST.storageManager.07.0000.dat', 'STREAM' => 'NanoDST', 'LUMISECTION' => '278', 'START_TIME' => '0', 'TYPE' => 'streamer', 'FILESIZE' => '2042910', 'STOP_TIME' => '0', 'LFN' => '/store/t0streamer/Data/NanoDST/000/157/957/Data.00157957.0278.NanoDST.storageManager.07.0000.dat' }
Tue Feb 15 23:23:25 2011: { 'APP_VERSION' => 'CMSSW_3_11_0_ONLINE', 'APP_NAME' => 'CMSSW', 'Tier0Inject' => '1', 'HLTKEY' => '/cdaq/special/HLT_Basic/HLT_Basic_v2/V2', 'NEVENTS' => '239', 'RUNNUMBER' => '157957', 'CHECKSUM' => '1a78acb3', 'T0FirstKnownTime' => '0', 'PFN' => '/castor/cern.ch/cms/store/t0streamer/Data/A/000/157/957/Data.00157957.0279.A.storageManager.07.0000.dat', 'STREAM' => 'A', 'LUMISECTION' => '279', 'START_TIME' => '0', 'TYPE' => 'streamer', 'FILESIZE' => '23048132', 'STOP_TIME' => '0', 'LFN' => '/store/t0streamer/Data/A/000/157/957/Data.00157957.0279.A.storageManager.07.0000.dat' }
Tue Feb 15 23:23:25 2011: { 'APP_VERSION' => 'CMSSW_3_11_0_ONLINE', 'APP_NAME' => 'CMSSW', 'Tier0Inject' => '1', 'HLTKEY' => '/cdaq/special/HLT_Basic/HLT_Basic_v2/V2', 'NEVENTS' => '253', 'RUNNUMBER' => '157957', 'CHECKSUM' => '68b3e21f', 'T0FirstKnownTime' => '0', 'PFN' => '/castor/cern.ch/cms/store/t0streamer/Data/A/000/157/957/Data.00157957.0312.A.storageManager.15.0000.dat', 'STREAM' => 'A', 'LUMISECTION' => '312', 'START_TIME' => '0', 'TYPE' => 'streamer', 'FILESIZE' => '24390970', 'STOP_TIME' => '0', 'LFN' => '/store/t0streamer/Data/A/000/157/957/Data.00157957.0312.A.storageManager.15.0000.dat' }
Tue Feb 15 23:23:25 2011: { 'APP_VERSION' => 'CMSSW_3_11_0_ONLINE', 'APP_NAME' => 'CMSSW', 'Tier0Inject' => '1', 'HLTKEY' => '/cdaq/special/HLT_Basic/HLT_Basic_v2/V2', 'NEVENTS' => '248', 'RUNNUMBER' => '157957', 'CHECKSUM' => 'f45d7a4c', 'T0FirstKnownTime' => '0', 'PFN' => '/castor/cern.ch/cms/store/t0streamer/Data/A/000/157/957/Data.00157957.0312.A.storageManager.11.0000.dat', 'STREAM' => 'A', 'LUMISECTION' => '312', 'START_TIME' => '0', 'TYPE' => 'streamer', 'FILESIZE' => '23912311', 'STOP_TIME' => '0', 'LFN' => '/store/t0streamer/Data/A/000/157/957/Data.00157957.0312.A.storageManager.11.0000.dat' }
Tue Feb 15 23:23:25 2011: { 'APP_VERSION' => 'CMSSW_3_11_0_ONLINE', 'APP_NAME' => 'CMSSW', 'Tier0Inject' => '1', 'HLTKEY' => '/cdaq/special/HLT_Basic/HLT_Basic_v2/V2', 'NEVENTS' => '249', 'RUNNUMBER' => '157957', 'CHECKSUM' => 'f5864882', 'T0FirstKnownTime' => '0', 'PFN' => '/castor/cern.ch/cms/store/t0streamer/Data/A/000/157/957/Data.00157957.0312.A.storageManager.14.0000.dat', 'STREAM' => 'A', 'LUMISECTION' => '312', 'START_TIME' => '0', 'TYPE' => 'streamer', 'FILESIZE' => '24068263', 'STOP_TIME' => '0', 'LFN' => '/store/t0streamer/Data/A/000/157/957/Data.00157957.0312.A.storageManager.14.0000.dat' }
Tue Feb 15 23:23:25 2011: { 'APP_VERSION' => 'CMSSW_3_11_0_ONLINE', 'APP_NAME' => 'CMSSW', 'Tier0Inject' => '1', 'HLTKEY' => '/cdaq/special/HLT_Basic/HLT_Basic_v2/V2', 'NEVENTS' => '235', 'RUNNUMBER' => '157957', 'CHECKSUM' => '48efdd13', 'T0FirstKnownTime' => '0', 'PFN' => '/castor/cern.ch/cms/store/t0streamer/Data/A/000/157/957/Data.00157957.0312.A.storageManager.03.0000.dat', 'STREAM' => 'A', 'LUMISECTION' => '312', 'START_TIME' => '0', 'TYPE' => 'streamer', 'FILESIZE' => '22657532', 'STOP_TIME' => '0', 'LFN' => '/store/t0streamer/Data/A/000/157/957/Data.00157957.0312.A.storageManager.03.0000.dat' }
Tue Feb 15 23:23:25 2011: { 'APP_VERSION' => 'CMSSW_3_11_0_ONLINE', 'APP_NAME' => 'CMSSW', 'Tier0Inject' => '1', 'HLTKEY' => '/cdaq/special/HLT_Basic/HLT_Basic_v2/V2', 'NEVENTS' => '271', 'RUNNUMBER' => '157957', 'CHECKSUM' => 'c685377e', 'T0FirstKnownTime' => '0', 'PFN' => '/castor/cern.ch/cms/store/t0streamer/Data/A/000/157/957/Data.00157957.0312.A.storageManager.01.0000.dat', 'STREAM' => 'A', 'LUMISECTION' => '312', 'START_TIME' => '0', 'TYPE' => 'streamer', 'FILESIZE' => '26058948', 'STOP_TIME' => '0', 'LFN' => '/store/t0streamer/Data/A/000/157/957/Data.00157957.0312.A.storageManager.01.0000.dat' }
Tue Feb 15 23:23:25 2011: { 'APP_VERSION' => 'CMSSW_3_11_0_ONLINE', 'APP_NAME' => 'CMSSW', 'Tier0Inject' => '1', 'HLTKEY' => '/cdaq/special/HLT_Basic/HLT_Basic_v2/V2', 'NEVENTS' => '244', 'RUNNUMBER' => '157957', 'CHECKSUM' => 'a54a2bbb', 'T0FirstKnownTime' => '0', 'PFN' => '/castor/cern.ch/cms/store/t0streamer/Data/A/000/157/957/Data.00157957.0312.A.storageManager.12.0000.dat', 'STREAM' => 'A', 'LUMISECTION' => '312', 'START_TIME' => '0', 'TYPE' => 'streamer', 'FILESIZE' => '23536960', 'STOP_TIME' => '0', 'LFN' => '/store/t0streamer/Data/A/000/157/957/Data.00157957.0312.A.storageManager.12.0000.dat' }
